City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,60.17,82,100,24.61,light rain
1,Fonte Boa,BR,-2.4959,-66.2662,72.68,98,100,1.14,overcast clouds
2,Matagami,CA,49.7502,-77.6328,64.51,77,75,9.22,broken clouds
3,Zaoyang,CN,32.1272,112.7542,79.02,73,92,4.54,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,72.59,75,18,9.19,few clouds
5,Kapaa,US,22.0752,-159.319,84.52,65,0,14.97,clear sky
6,Butaritari,KI,3.0707,172.7902,81.99,76,100,7.9,overcast clouds
7,Roma,US,43.2128,-75.4557,72.82,83,4,2.89,clear sky
8,Clyde River,CA,70.4692,-68.5914,52.03,71,75,10.36,broken clouds
9,Bredasdorp,ZA,-34.5322,20.0403,53.69,89,99,8.86,light rain
10,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,14.97,clear sky
11,Abu Dhabi,AE,24.4667,54.3667,98.71,53,0,4.61,clear sky
12,Saldanha,ZA,-33.0117,17.9442,55.45,79,99,11.5,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,35.26,87,75,21.85,light rain
14,Jamestown,US,42.097,-79.2353,74.84,70,0,5.75,clear sky
15,Salalah,OM,17.0151,54.0924,77.09,94,100,6.91,overcast clouds
16,Margate,GB,51.3813,1.3862,63.3,84,100,1.01,overcast clouds
17,Genhe,CN,50.7833,121.5167,74.62,55,85,8.75,overcast clouds
18,Beringovskiy,RU,63.05,179.3167,45.37,87,100,4.79,light rain
19,Geraldton,AU,-28.7667,114.6,63.01,72,40,14.97,scattered clouds
20,Mataura,NZ,-46.1927,168.8643,44.47,64,5,2.86,clear sky
21,Albany,US,42.6001,-73.9662,77.41,79,48,8.81,scattered clouds
22,Ribeira Grande,PT,38.5167,-28.7,73.09,90,60,6.85,broken clouds
23,Inirida,CO,3.8653,-67.9239,73.24,98,100,2.42,overcast clouds
24,Jijiga,ET,9.35,42.8,58.77,83,76,18.39,broken clouds
25,Cape Town,ZA,-33.9258,18.4232,55.11,93,20,3.44,light rain
26,Oistins,BB,13.0667,-59.5333,80.69,74,40,11.5,scattered clouds
27,Hamilton,US,39.1834,-84.5333,83.03,72,0,0.0,haze
28,Tuktoyaktuk,CA,69.4541,-133.0374,68.0,60,75,9.22,broken clouds
29,Lata,PT,40.1629,-8.3327,63.07,90,0,1.39,clear sky
30,Constitucion,CL,-35.3333,-72.4167,52.39,94,100,6.96,overcast clouds
31,Hermanus,ZA,-34.4187,19.2345,53.8,81,83,12.41,light rain
32,Carnarvon,AU,-24.8667,113.6333,65.95,55,92,5.68,overcast clouds
33,Flagstaff,US,35.1981,-111.6513,89.26,39,20,8.05,few clouds
34,Atuona,PF,-9.8,-139.0333,77.58,77,14,15.28,few clouds
35,Nola,IT,40.922,14.5329,79.63,88,0,2.08,clear sky
36,Port Alfred,ZA,-33.5906,26.891,60.78,75,100,10.47,overcast clouds
37,Trairi,BR,-3.2778,-39.2689,79.29,78,63,12.62,broken clouds
38,Bengkulu,ID,-3.8004,102.2655,81.86,70,30,2.06,scattered clouds
39,Khani,GE,41.9563,42.9566,53.17,91,12,4.12,few clouds
40,Veraval,IN,20.9,70.3667,80.98,83,100,15.9,light rain
41,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,2.3,overcast clouds
42,Eenhana,NA,-17.4667,16.3333,55.31,49,2,6.51,clear sky
43,Ponta Do Sol,PT,32.6667,-17.1,70.72,70,8,5.21,clear sky
44,Korla,CN,41.7597,86.1469,88.21,18,0,3.04,clear sky
45,Bluff,NZ,-46.6,168.3333,44.8,71,1,4.25,clear sky
46,Wewak,PG,-3.5534,143.6268,85.03,69,97,6.13,overcast clouds
47,Barrow,US,71.2906,-156.7887,41.02,87,100,10.36,mist
48,Tautira,PF,-17.7333,-149.15,76.57,78,33,10.13,scattered clouds
49,Kloulklubed,PW,7.0419,134.2556,81.1,78,100,8.7,overcast clouds
50,Port Hedland,AU,-20.3167,118.5667,78.85,50,0,13.8,clear sky
51,Hobart,AU,-42.8794,147.3294,58.26,71,75,5.75,broken clouds
52,Muros,ES,42.7762,-9.0603,63.09,79,0,9.95,clear sky
53,Bilma,NE,18.6853,12.9164,90.61,30,60,4.74,broken clouds
54,Arkadak,RU,51.9326,43.4978,57.09,86,56,4.92,broken clouds
55,Codrington,AU,-38.2667,141.9667,53.92,92,100,12.64,overcast clouds
56,Jiuquan,CN,39.7432,98.5174,85.53,12,0,6.55,clear sky
