City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Zaoyang,CN,79.02,overcast clouds,32.1272,112.7542,Shanghai Hotel
5,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
6,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
15,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
26,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
27,Hamilton,US,83.03,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
33,Flagstaff,US,89.26,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
34,Atuona,PF,77.58,few clouds,-9.8,-139.0333,Villa Enata
35,Nola,IT,79.63,clear sky,40.922,14.5329,Palazzo Giordano Bruno
37,Trairi,BR,79.29,broken clouds,-3.2778,-39.2689,janelas do mar
38,Bengkulu,ID,81.86,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
40,Veraval,IN,80.98,light rain,20.9,70.3667,Lords Inn Somnath
44,Korla,CN,88.21,clear sky,41.7597,86.1469,Gulisitan Hotel
46,Wewak,PG,85.03,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
48,Tautira,PF,76.57,scattered clouds,-17.7333,-149.15,Pension Oaoa
49,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
50,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
56,Jiuquan,CN,85.53,clear sky,39.7432,98.5174,Jiuquan Hotel
58,Hilo,US,82.27,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Tongchuan,CN,75.4,clear sky,35.0806,109.0897,Tongchuan Hotel
63,Bardiyah,LY,75.36,clear sky,31.7561,25.0865,بورتو بردية
64,Nawabganj,BD,85.23,overcast clouds,24.5911,88.271,দা সফ্‌ট আইটি
65,Palmer,US,80.15,few clouds,42.1584,-72.3287,Wedgewood Motel
68,Xiuyan,CN,75.79,moderate rain,40.2928,123.2744,Helin Holiday Hotel
70,Mecca,SA,86.09,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
72,Bandarbeyla,SO,76.75,clear sky,9.4942,50.8122,JABIR HOTEL
77,Port Blair,IN,78.84,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
79,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
83,Kushima,JP,86.14,overcast clouds,31.4583,131.2333,Hanaoka
84,Half Moon Bay,US,80.55,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
88,Tecoanapa,MX,81.25,scattered clouds,16.5167,-98.75,Hotel Manglares
89,Norman Wells,CA,80.64,broken clouds,65.282,-126.8329,Heritage Hotel
90,Rafsanjan,IR,83.84,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
91,Connersville,US,78.62,clear sky,39.6412,-85.1411,The Lodge at IOI
95,Tommot,RU,85.05,overcast clouds,58.9564,126.2925,Gostinitsa Tommot
101,Atambua,ID,78.46,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
103,Sola,VU,80.64,clear sky,-13.8833,167.55,Leumerus Bungalows
109,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
111,Kavaratti,IN,81.1,overcast clouds,10.5669,72.642,Green leaf
117,Shitanjing,CN,76.86,clear sky,39.2342,106.3439,Yingbin Hotel
118,Kirakira,SB,84.97,clear sky,-10.4544,161.9205,SanBiz Lodge
123,Atar,MR,85.15,light rain,20.5169,-13.0499,Oumou Elghoura
124,Hobyo,SO,75.16,few clouds,5.3505,48.5268,Iftin hotel hobyo
132,Bethel,US,79.11,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
138,Iglesias,IT,75.79,clear sky,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
141,Muroto,JP,79.25,broken clouds,33.2833,134.15,Oota Ryokan
142,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
147,Tha Bo,TH,80.49,scattered clouds,17.85,102.5814,บ้านพักริมโขง รีสอร์ท
149,Hithadhoo,MV,82.09,overcast clouds,-0.6,73.0833,Scoop Guest House
159,Bemidji,US,75.29,clear sky,47.4736,-94.8803,Hampton Inn & Suites Bemidji
160,Nizwa,OM,84.22,overcast clouds,22.9333,57.5333,Orient Apartments
162,Pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
167,Kieta,PG,85.66,clear sky,-6.2167,155.6333,Uruna Bay Retreat
168,Balsas,BR,76.46,overcast clouds,-7.5325,-46.0356,Novo Hotel
171,Yinchuan,CN,80.78,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
