City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pacific Grove,US,2022-07-22 17:08:25,36.6177,-121.9166,71.2,90,75,15.01
1,Esperance,AU,2022-07-22 17:13:03,-33.8667,121.9,53.49,77,87,13.8
2,Ushuaia,AR,2022-07-22 17:13:04,-54.8,-68.3,35.26,93,100,29.93
3,Busselton,AU,2022-07-22 17:08:17,-33.65,115.3333,58.93,81,29,17.07
4,Iroquois Falls,CA,2022-07-22 17:13:04,48.7669,-80.6831,77.13,44,3,10.87
5,Bluff,NZ,2022-07-22 17:08:51,-46.6,168.3333,33.8,84,83,7.25
6,Khatanga,RU,2022-07-22 17:13:05,71.9667,102.5,45.77,83,100,14.14
7,East London,ZA,2022-07-22 17:13:05,-33.0153,27.9116,69.39,51,5,8.03
8,Mataura,NZ,2022-07-22 17:09:02,-46.1927,168.8643,33.48,98,16,2.95
9,Ahipara,NZ,2022-07-22 17:13:06,-35.1667,173.1667,48.54,86,77,7.02
10,Provins,FR,2022-07-22 17:13:06,48.5833,3.1667,77.36,42,87,3.91
11,Kijang,KR,2022-07-22 17:13:07,35.2442,129.2139,71.2,91,49,3.4
12,New Norfolk,AU,2022-07-22 17:13:07,-42.7826,147.0587,49.5,83,99,1.01
13,Albany,US,2022-07-22 17:10:27,42.6001,-73.9662,92.62,42,7,1.01
14,Chuy,UY,2022-07-22 17:13:08,-33.6971,-53.4616,60.01,83,100,3.15
15,Vaini,TO,2022-07-22 17:08:20,-21.2,-175.2,71.76,88,40,8.05
16,Kavieng,PG,2022-07-22 17:13:08,-2.5744,150.7967,81.7,78,39,10.31
17,Thompson,CA,2022-07-22 17:10:36,55.7435,-97.8558,54.36,80,100,6.35
18,Kapaa,US,2022-07-22 17:13:09,22.0752,-159.319,79.12,86,40,12.66
19,Bethel,US,2022-07-22 17:13:09,41.3712,-73.414,94.15,46,0,9.22
20,Bambous Virieux,MU,2022-07-22 17:13:10,-20.3428,57.7575,69.22,76,36,17.58
21,Punta Arenas,CL,2022-07-22 17:12:19,-53.15,-70.9167,41.02,75,0,20.71
22,Wageningen,NL,2022-07-22 17:13:10,51.9667,5.6667,72.1,68,100,6.91
23,Watertown,US,2022-07-22 17:09:47,42.3709,-71.1828,94.91,36,0,8.05
24,Katsuura,JP,2022-07-22 17:13:11,35.1333,140.3,78.98,85,34,18.48
25,Broome,US,2022-07-22 17:09:58,42.2506,-75.833,87.48,52,100,6.91
26,Bonavista,CA,2022-07-22 17:13:12,48.6499,-53.1147,65.05,76,72,12.46
27,Ponta Do Sol,PT,2022-07-22 17:13:12,32.6667,-17.1,75.83,60,0,3.71
28,Rikitea,PF,2022-07-22 17:13:13,-23.1203,-134.9692,72.61,75,99,7.7
29,Wanxian,CN,2022-07-22 17:09:45,30.8039,108.3897,76.23,97,100,4.68
30,Yumbing,PH,2022-07-22 17:13:14,9.2393,124.6578,81.45,80,92,2.77
31,Luderitz,NA,2022-07-22 17:09:29,-26.6481,15.1594,61.07,68,13,14.36
